自定义SKU,ASIN（子Asin）,物品状况,价格,库存数量,发货方式,跟卖方式,跟卖时间,下架时间,备货周期(天)
 p9se1ck40z,B000O3VSHW,New,20.88,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 kwk2wkihhn,B07WP781X4,New,13.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 ih5zkxb9b8,B07C61VM8P,New,16.9,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 k1e4k80y0i,B08B7ZXDCP,New,116,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 2c6tazx67j,B08Q3MJGLZ,New,11.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 xrx56z6e6f,B076JFV8J2,New,10.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 km03zsmrk0,B07MV961QN,New,30.57,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 6d10mb2bsy,B016HM7QRE,New,17.84,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 w22tmn4j2h,B085LMQWFG,New,66.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 st7wrs2jye,B01GUL0K66,New,64.97,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 c7mkmir36y,B00H08AQO0,New,31.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 ymzpsbz3yc,B07FFRRPMQ,New,16.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 1r964nmhi5,B01N95BEZU,New,59.98,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 1mcy1hb55w,B07YN75Z45,New,36.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 0i0mw3mysn,B01C95I8N4,New,116.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 1jw52wz1wi,B07WQWTHNN,New,16.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 htmdjnmykh,B01H6NC8XU,New,16.97,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 9sh9cf4z6s,B08CZQT49W,New,29.98,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 bdky4k5hyw,B0736XQGY6,New,56.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 9r2wk45j4e,B081QRKP5N,New,28.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 r13yzwt04h,B08JYC4S6W,New,20.06,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 cj7k8ym72s,B01BH3RTUM,New,71.94,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 sffx8cb02r,B01EW7BSR0,New,28.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 takd304k6c,B07WTWFCVX,New,13.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 mxmia9dzsk,B07TDGV37F,New,12.95,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 i0n6k3j03d,B07SL342DZ,New,14.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 ebfwa50tax,B08M6GL637,New,10.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 n5e3r24fks,B01N53N3F7,New,186.25,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 k05ncjfjp1,B07KGGRR6L,New,16.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 s4hixdf9yp,B078MJZBCG,New,29.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 f9hhpd8py4,B07CZQWS96,New,176.97,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 1e2r9yd7xw,B07792Y1Q4,New,38.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 he24tpi4n4,B01CEJ1AD0,New,242.98,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 8ajw299wc8,B07JG459R7,New,38.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 r2ewkc00cw,B01D5FY3V8,New,16.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 cp0tei872h,B081QQT6RM,New,32.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 sz531jjxd3,B071JHZCQR,New,12.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 isk0i2n5cf,B07WKVBJ1H,New,17.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 j65pmjtn9x,B06ZZQ6RHV,New,16.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 ecw6aza92w,B08NV46954,New,45,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 dz6z2tc53b,B07JM642JR,New,28.98,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 29b6cxaz00,B07R14J9QG,New,26.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 y6dmx3fxwf,B07PVHPDCK,New,27.98,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 9x45ipm0e2,B00YDQJ9EK,New,16.49,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 aa76cm07ie,B07H923JDG,New,26.98,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 n0n3nh9dkh,B07B6V7CYS,New,26.7,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 0y50wz7f2e,B00M0FSO92,New,41.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 rataebp9id,B07G9HXP35,New,64,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 ypzj0xtt0f,B089RGGYJX,New,57.98,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 7s0bczr08p,B01MXZX45V,New,40.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 m3n99zx6e1,B016PYZ7FM,New,12.95,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 we0562xz58,B01MYNAZWA,New,46.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 4thwziti0f,B072PTFBM5,New,27.97,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 wb5bp9pxyk,B00AXN3628,New,116.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 jen6b8fsws,B06X6LWQ1P,New,29.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 k6erpbfz5y,B0848H8P78,New,86.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 rfjezniyhs,B00N8LMJV6,New,31.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 axpxz0x4me,B06XD821TV,New,10.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 519izkb07h,B00RQYXLMC,New,126,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 xjes0mh4dp,B01ERDD7PK,New,76.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 bhjrz85dt8,B072JQFPTQ,New,12.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 zscfh7iwkk,B0758VJ671,New,56.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 ben12x27x1,B077ZMZM59,New,27.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 4kshrw55cn,B07JR4ZYX5,New,11.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 9dn199w9n7,B072PQDJP4,New,46.97,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 0nx8c2z551,B07P91TVMC,New,15.49,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 42yx6wib75,B00I53E974,New,30.95,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 nhi9h45y7i,B07HC4KMRC,New,26.98,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 ns2j6h9p9t,B082MFPY3V,New,13.98,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 cxn8s7nawr,B06ZY7QJGM,New,16.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 hnwz5d8j8m,B085324488,New,14.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
